FILE,BAND,FWHM
KiDS_DR1.0_185.0_0.5_r_sci.fits,r,0.620912
KiDS_DR1.0_185.0_-0.5_u_sci.fits,u,1.0097368
KiDS_DR1.0_185.0_0.5_u_sci.fits,u,0.916279
KiDS_DR1.0_185.0_-1.5_g_sci.fits,g,0.5924258
KiDS_DR1.0_185.0_1.5_g_sci.fits,g,0.7017277
KiDS_DR1.0_185.0_-1.5_i_sci.fits,i,0.9298704
KiDS_DR1.0_185.0_1.5_i_sci.fits,i,0.8825347
KiDS_DR1.0_185.0_-1.5_r_sci.fits,r,0.5218461
KiDS_DR1.0_185.0_1.5_r_sci.fits,r,0.8256087
KiDS_DR1.0_185.0_-1.5_u_sci.fits,u,0.8339637
KiDS_DR1.0_185.0_1.5_u_sci.fits,u,0.872817
KiDS_DR1.0_186.0_-0.5_g_sci.fits,g,0.905314
KiDS_DR1.0_186.0_-0.5_i_sci.fits,i,0.9502735
KiDS_DR1.0_186.0_-0.5_r_sci.fits,r,0.6295477
KiDS_DR1.0_186.0_-0.5_u_sci.fits,u,0.9450821
KiDS_DR1.0_212.0_-1.5_g_sci.fits,g,0.6459266
KiDS_DR1.0_212.0_1.5_g_sci.fits,g,0.8293204
KiDS_DR1.0_212.0_-1.5_i_sci.fits,i,0.5102542
KiDS_DR1.0_212.0_1.5_i_sci.fits,i,0.6269127
KiDS_DR1.0_212.0_-1.5_r_sci.fits,r,0.5520715
KiDS_DR1.0_212.0_1.5_r_sci.fits,r,0.7014471
KiDS_DR1.0_212.0_-1.5_u_sci.fits,u,1.0896638
KiDS_DR1.0_212.0_1.5_u_sci.fits,u,0.9581873
KiDS_DR1.0_213.0_1.5_g_sci.fits,g,0.8714718
KiDS_DR1.0_213.0_1.5_i_sci.fits,i,0.8027772
KiDS_DR1.0_213.0_1.5_r_sci.fits,r,0.5572949
KiDS_DR1.0_213.0_1.5_u_sci.fits,u,1.078998
KiDS_DR1.0_215.0_0.5_g_sci.fits,g,0.7998607
KiDS_DR1.0_215.0_0.5_i_sci.fits,i,0.6732458
KiDS_DR1.0_215.0_0.5_r_sci.fits,r,0.8304764
KiDS_DR1.0_215.0_0.5_u_sci.fits,u,1.0690031
