FILE,BAND,FWHM
KiDS_DR2.0_180.0_1.5_r_sci.fits,r,0.7855706
KiDS_DR2.0_180.0_-1.5_u_sci.fits,u,0.9933651
KiDS_DR2.0_180.0_1.5_u_sci.fits,u,1.0966339
KiDS_DR2.0_181.0_0.5_g_sci.fits,g,0.9290111
KiDS_DR2.0_181.0_0.5_i_sci.fits,i,0.8006489
KiDS_DR2.0_181.0_0.5_r_sci.fits,r,0.5478092
KiDS_DR2.0_181.0_0.5_u_sci.fits,u,1.0711046
KiDS_DR2.0_181.0_-1.5_g_sci.fits,g,0.8174381
KiDS_DR2.0_181.0_-1.5_i_sci.fits,i,0.6966364
KiDS_DR2.0_181.0_-1.5_r_sci.fits,r,0.5499212
KiDS_DR2.0_181.0_-1.5_u_sci.fits,u,0.9013705
KiDS_DR2.0_182.0_-1.5_g_sci.fits,g,0.7813059
KiDS_DR2.0_182.0_1.5_g_sci.fits,g,0.799571
KiDS_DR2.0_182.0_-1.5_i_sci.fits,i,0.823225
KiDS_DR2.0_182.0_1.5_i_sci.fits,i,0.7773616
KiDS_DR2.0_182.0_-1.5_r_sci.fits,r,0.5159406
KiDS_DR2.0_182.0_1.5_r_sci.fits,r,0.6777313
KiDS_DR2.0_182.0_-1.5_u_sci.fits,u,1.0287274
KiDS_DR2.0_182.0_1.5_u_sci.fits,u,0.8060581
KiDS_DR2.0_183.0_-0.5_g_sci.fits,g,1.0158061
KiDS_DR2.0_183.0_0.5_g_sci.fits,g,0.9750673
KiDS_DR2.0_183.0_-0.5_i_sci.fits,i,0.9926037
KiDS_DR2.0_183.0_0.5_i_sci.fits,i,0.861044
KiDS_DR2.0_183.0_-0.5_r_sci.fits,r,0.5920447
KiDS_DR2.0_183.0_0.5_r_sci.fits,r,0.5566567
KiDS_DR2.0_183.0_-0.5_u_sci.fits,u,1.0418955
KiDS_DR2.0_183.0_0.5_u_sci.fits,u,0.9390758
KiDS_DR2.0_183.0_1.5_g_sci.fits,g,0.7377635
KiDS_DR2.0_183.0_1.5_i_sci.fits,i,1.0323149
KiDS_DR2.0_183.0_1.5_r_sci.fits,r,0.5602042
KiDS_DR2.0_183.0_1.5_u_sci.fits,u,1.1049078
KiDS_DR2.0_186.0_0.5_g_sci.fits,g,0.8651229
KiDS_DR2.0_186.0_0.5_i_sci.fits,i,0.6494969
KiDS_DR2.0_186.0_0.5_r_sci.fits,r,0.6967877
KiDS_DR2.0_186.0_0.5_u_sci.fits,u,0.8671576
KiDS_DR2.0_186.0_1.5_g_sci.fits,g,1.1202849
KiDS_DR2.0_186.0_1.5_i_sci.fits,i,1.010284
KiDS_DR2.0_186.0_1.5_r_sci.fits,r,0.5550154
KiDS_DR2.0_186.0_1.5_u_sci.fits,u,1.0630616
KiDS_DR2.0_187.0_-0.5_g_sci.fits,g,0.8680082
KiDS_DR2.0_187.0_-0.5_i_sci.fits,i,0.7149791
KiDS_DR2.0_187.0_-0.5_r_sci.fits,r,0.6662709
KiDS_DR2.0_187.0_-0.5_u_sci.fits,u,1.073742
KiDS_DR2.0_212.0_0.5_g_sci.fits,g,0.9213823
KiDS_DR2.0_212.0_0.5_i_sci.fits,i,0.5511866
KiDS_DR2.0_212.0_0.5_r_sci.fits,r,0.5271728
KiDS_DR2.0_212.0_0.5_u_sci.fits,u,0.9099718
KiDS_DR2.0_215.6_-2.5_g_sci.fits,g,0.9312721
KiDS_DR2.0_215.6_2.5_g_sci.fits,g,0.9874725
KiDS_DR2.0_215.6_-2.5_i_sci.fits,i,0.9759553
KiDS_DR2.0_215.6_2.5_i_sci.fits,i,0.6701913
KiDS_DR2.0_215.6_-2.5_r_sci.fits,r,0.5939514
KiDS_DR2.0_215.6_2.5_r_sci.fits,r,0.7639198
KiDS_DR2.0_215.6_-2.5_u_sci.fits,u,1.0952133
KiDS_DR2.0_215.6_2.5_u_sci.fits,u,0.8068693
KiDS_DR2.0_219.0_-1.5_g_sci.fits,g,0.9640419
KiDS_DR2.0_219.0_-1.5_i_sci.fits,i,1.0123914
KiDS_DR2.0_219.0_-1.5_r_sci.fits,r,0.8128197
KiDS_DR2.0_219.0_-1.5_u_sci.fits,u,1.1885916
KiDS_DR2.0_219.6_-2.5_g_sci.fits,g,1.212131
KiDS_DR2.0_219.6_-2.5_i_sci.fits,i,0.7853995
KiDS_DR2.0_219.6_-2.5_r_sci.fits,r,0.6883236
KiDS_DR2.0_219.6_-2.5_u_sci.fits,u,1.1640767
KiDS_DR2.0_220.0_-0.5_g_sci.fits,g,0.6919843
KiDS_DR2.0_220.0_-0.5_i_sci.fits,i,0.6349575
KiDS_DR2.0_220.0_-0.5_r_sci.fits,r,0.7063358
KiDS_DR2.0_220.0_-0.5_u_sci.fits,u,0.8889822
KiDS_DR2.0_222.0_1.5_g_sci.fits,g,0.8237726
KiDS_DR2.0_222.0_1.5_i_sci.fits,i,0.8430587
KiDS_DR2.0_222.0_1.5_r_sci.fits,r,0.5854354
KiDS_DR2.0_222.0_1.5_u_sci.fits,u,1.0628746
KiDS_DR2.0_222.6_2.5_g_sci.fits,g,1.2744475
KiDS_DR2.0_222.6_2.5_i_sci.fits,i,0.8044284
KiDS_DR2.0_222.6_2.5_r_sci.fits,r,0.6452653
KiDS_DR2.0_222.6_2.5_u_sci.fits,u,1.2104806
KiDS_DR2.0_223.0_-0.5_g_sci.fits,g,1.0481273
KiDS_DR2.0_223.0_-0.5_i_sci.fits,i,0.9768382
KiDS_DR2.0_223.0_-0.5_r_sci.fits,r,0.6583842
KiDS_DR2.0_223.0_-0.5_u_sci.fits,u,0.8583604
KiDS_DR2.0_230.0_0.5_g_sci.fits,g,0.9386302
KiDS_DR2.0_230.0_0.5_i_sci.fits,i,1.0592138
KiDS_DR2.0_230.0_0.5_r_sci.fits,r,0.7662382
KiDS_DR2.0_230.0_0.5_u_sci.fits,u,1.042341
KiDS_DR2.0_231.0_-0.5_g_sci.fits,g,0.916574
KiDS_DR2.0_231.0_0.5_g_sci.fits,g,0.8319357
KiDS_DR2.0_231.0_-0.5_i_sci.fits,i,0.7393823
KiDS_DR2.0_231.0_0.5_i_sci.fits,i,0.8503059
KiDS_DR2.0_231.0_-0.5_r_sci.fits,r,0.6832532
KiDS_DR2.0_231.0_0.5_r_sci.fits,r,0.6893421
KiDS_DR2.0_231.0_-0.5_u_sci.fits,u,0.9878165
KiDS_DR2.0_231.0_0.5_u_sci.fits,u,1.1276178
KiDS_DR2.0_238.0_-0.5_g_sci.fits,g,0.8436224
KiDS_DR2.0_238.0_0.5_g_sci.fits,g,0.8520544
KiDS_DR2.0_238.0_-0.5_i_sci.fits,i,0.8982089
KiDS_DR2.0_238.0_0.5_i_sci.fits,i,0.9290783
KiDS_DR2.0_238.0_-0.5_r_sci.fits,r,0.6947679
KiDS_DR2.0_238.0_0.5_r_sci.fits,r,0.6519012
KiDS_DR2.0_238.0_-0.5_u_sci.fits,u,1.0849102
KiDS_DR2.0_238.0_0.5_u_sci.fits,u,0.9155912
KiDS_DR2.0_32.6_-31.2_g_sci.fits,g,0.8999395
KiDS_DR2.0_32.6_-31.2_i_sci.fits,i,0.7071829
KiDS_DR2.0_32.6_-31.2_r_sci.fits,r,0.7015169
KiDS_DR2.0_32.6_-31.2_u_sci.fits,u,1.0308364
KiDS_DR2.0_33.8_-31.2_g_sci.fits,g,0.906072
KiDS_DR2.0_33.8_-31.2_i_sci.fits,i,0.7212605
KiDS_DR2.0_33.8_-31.2_r_sci.fits,r,0.8399467
KiDS_DR2.0_33.8_-31.2_u_sci.fits,u,1.1373429
KiDS_DR2.0_339.0_-31.2_g_sci.fits,g,0.8163601
KiDS_DR2.0_339.0_-31.2_i_sci.fits,i,0.6756833
KiDS_DR2.0_339.0_-31.2_r_sci.fits,r,0.5649072
KiDS_DR2.0_339.0_-31.2_u_sci.fits,u,1.1694096
KiDS_DR2.0_340.2_-31.2_g_sci.fits,g,0.6942916
KiDS_DR2.0_340.2_-31.2_i_sci.fits,i,1.0051899
KiDS_DR2.0_340.2_-31.2_r_sci.fits,r,0.5729142
KiDS_DR2.0_340.2_-31.2_u_sci.fits,u,0.9508285
KiDS_DR2.0_341.4_-31.2_g_sci.fits,g,0.7852221
KiDS_DR2.0_341.4_-31.2_i_sci.fits,i,0.7755126
KiDS_DR2.0_341.4_-31.2_r_sci.fits,r,0.8168991
KiDS_DR2.0_341.4_-31.2_u_sci.fits,u,1.0282254
KiDS_DR2.0_342.2_-33.1_g_sci.fits,g,0.8509447
KiDS_DR2.0_342.2_-33.1_i_sci.fits,i,0.8505505
KiDS_DR2.0_342.2_-33.1_r_sci.fits,r,0.74281
KiDS_DR2.0_342.2_-33.1_u_sci.fits,u,1.1201603
KiDS_DR2.0_342.5_-31.2_g_sci.fits,g,0.8736084
KiDS_DR2.0_342.5_-31.2_i_sci.fits,i,0.7788578
KiDS_DR2.0_342.5_-31.2_r_sci.fits,r,0.5891471
KiDS_DR2.0_342.5_-31.2_u_sci.fits,u,1.0806657
KiDS_DR2.0_343.5_-32.1_g_sci.fits,g,0.7670634
KiDS_DR2.0_343.5_-32.1_i_sci.fits,i,0.9198944
KiDS_DR2.0_343.5_-32.1_r_sci.fits,r,0.7072978
KiDS_DR2.0_343.5_-32.1_u_sci.fits,u,1.0416855
KiDS_DR2.0_343.7_-31.2_g_sci.fits,g,0.8366289
KiDS_DR2.0_343.7_-31.2_i_sci.fits,i,0.5649881
KiDS_DR2.0_343.7_-31.2_r_sci.fits,r,0.8172013
KiDS_DR2.0_343.7_-31.2_u_sci.fits,u,1.0226539
KiDS_DR2.0_344.7_-32.1_g_sci.fits,g,0.7521027
KiDS_DR2.0_344.7_-32.1_i_sci.fits,i,0.96
KiDS_DR2.0_344.7_-32.1_r_sci.fits,r,0.6675576
KiDS_DR2.0_344.7_-32.1_u_sci.fits,u,0.8513609
KiDS_DR2.0_345.7_-33.1_g_sci.fits,g,0.9380216
KiDS_DR2.0_345.7_-33.1_i_sci.fits,i,0.7456328
KiDS_DR2.0_345.7_-33.1_r_sci.fits,r,0.7024154
KiDS_DR2.0_345.7_-33.1_u_sci.fits,u,0.9150168
KiDS_DR2.0_345.9_-32.1_g_sci.fits,g,0.813856
KiDS_DR2.0_345.9_-32.1_i_sci.fits,i,0.7196085
KiDS_DR2.0_345.9_-32.1_r_sci.fits,r,0.8223977
KiDS_DR2.0_345.9_-32.1_u_sci.fits,u,1.0228351
KiDS_DR2.0_349.5_-31.2_g_sci.fits,g,0.9363632
KiDS_DR2.0_349.5_-31.2_i_sci.fits,i,0.6938912
KiDS_DR2.0_349.5_-31.2_r_sci.fits,r,0.7050126
KiDS_DR2.0_349.5_-31.2_u_sci.fits,u,1.0382887
KiDS_DR2.0_354.2_-31.2_g_sci.fits,g,0.8878728
KiDS_DR2.0_354.2_-31.2_i_sci.fits,i,1.0830124
KiDS_DR2.0_354.2_-31.2_r_sci.fits,r,0.6913649
KiDS_DR2.0_354.2_-31.2_u_sci.fits,u,0.9321977
KiDS_DR2.0_355.3_-32.1_g_sci.fits,g,0.8523887
KiDS_DR2.0_355.3_-32.1_i_sci.fits,i,0.9096362
KiDS_DR2.0_355.3_-32.1_r_sci.fits,r,0.6105966
KiDS_DR2.0_355.3_-32.1_u_sci.fits,u,0.9479785
KiDS_DR2.0_38.8_-32.1_g_sci.fits,g,0.6696542
KiDS_DR2.0_38.8_-32.1_i_sci.fits,i,0.9367643
KiDS_DR2.0_38.8_-32.1_r_sci.fits,r,0.8229301
KiDS_DR2.0_38.8_-32.1_u_sci.fits,u,0.8023717
KiDS_DR2.0_39.6_-34.1_g_sci.fits,g,0.7403087
KiDS_DR2.0_39.6_-34.1_i_sci.fits,i,0.5837776
KiDS_DR2.0_39.6_-34.1_r_sci.fits,r,0.5549448
KiDS_DR2.0_39.6_-34.1_u_sci.fits,u,0.8312979
KiDS_DR2.0_40.3_-30.2_g_sci.fits,g,0.6995865
KiDS_DR2.0_40.3_-30.2_i_sci.fits,i,0.6490012
KiDS_DR2.0_40.3_-30.2_r_sci.fits,r,0.5543149
KiDS_DR2.0_40.3_-30.2_u_sci.fits,u,0.9743944
KiDS_DR2.0_43.5_-32.1_g_sci.fits,g,0.7762404
KiDS_DR2.0_43.5_-32.1_i_sci.fits,i,0.6592764
KiDS_DR2.0_43.5_-32.1_r_sci.fits,r,0.682716
KiDS_DR2.0_43.5_-32.1_u_sci.fits,u,1.0018471
KiDS_DR2.0_44.9_-30.2_g_sci.fits,g,0.6507627
KiDS_DR2.0_44.9_-30.2_i_sci.fits,i,0.7322778
KiDS_DR2.0_44.9_-30.2_r_sci.fits,r,0.4878524
KiDS_DR2.0_44.9_-30.2_u_sci.fits,u,0.9804028
KiDS_DR2.0_46.0_-30.2_g_sci.fits,g,0.8439434
KiDS_DR2.0_46.0_-30.2_i_sci.fits,i,0.8812088
KiDS_DR2.0_46.0_-30.2_r_sci.fits,r,0.5384993
KiDS_DR2.0_46.0_-30.2_u_sci.fits,u,0.874805
KiDS_DR2.0_47.8_-31.2_g_sci.fits,g,1.0779474
KiDS_DR2.0_47.8_-31.2_i_sci.fits,i,1.0360394
KiDS_DR2.0_47.8_-31.2_r_sci.fits,r,0.6063884
KiDS_DR2.0_47.8_-31.2_u_sci.fits,u,1.0098993
KiDS_DR2.0_49.2_-34.1_g_sci.fits,g,0.7121567
KiDS_DR2.0_49.2_-34.1_i_sci.fits,i,0.6438859
KiDS_DR2.0_49.2_-34.1_r_sci.fits,r,0.5485384
KiDS_DR2.0_49.2_-34.1_u_sci.fits,u,0.9726573
KiDS_DR2.0_51.3_-31.2_g_sci.fits,g,0.918347
KiDS_DR2.0_51.3_-31.2_i_sci.fits,i,0.8269456
KiDS_DR2.0_51.3_-31.2_r_sci.fits,r,0.8960579
KiDS_DR2.0_51.3_-31.2_u_sci.fits,u,1.1358039
KiDS_DR2.0_52.4_-31.2_g_sci.fits,g,0.6269803
KiDS_DR2.0_52.4_-31.2_i_sci.fits,i,0.9839365
KiDS_DR2.0_52.4_-31.2_r_sci.fits,r,0.6403688
KiDS_DR2.0_52.4_-31.2_u_sci.fits,u,1.02312
KiDS_DR3.0_0.0_-31.2_g_sci.fits,g,0.66679
KiDS_DR3.0_0.0_-31.2_i_sci.fits,i,0.54632
KiDS_DR3.0_0.0_-31.2_r_sci.fits,r,0.59067
KiDS_DR3.0_0.0_-31.2_u_sci.fits,u,0.93211
KiDS_DR3.0_0.0_-33.1_g_sci.fits,g,0.81841
KiDS_DR3.0_0.0_-33.1_i_sci.fits,i,0.93536
KiDS_DR3.0_0.0_-33.1_r_sci.fits,r,0.62958
KiDS_DR3.0_0.0_-33.1_u_sci.fits,u,1.04743
KiDS_DR3.0_1.2_-32.1_g_sci.fits,g,1.04685
KiDS_DR3.0_1.2_-32.1_i_sci.fits,i,0.56447
KiDS_DR3.0_1.2_-32.1_r_sci.fits,r,0.67198
KiDS_DR3.0_1.2_-32.1_u_sci.fits,u,0.93619
KiDS_DR3.0_1.2_-33.1_g_sci.fits,g,0.70138
KiDS_DR3.0_1.2_-33.1_i_sci.fits,i,0.53551
KiDS_DR3.0_1.2_-33.1_r_sci.fits,r,0.70133
KiDS_DR3.0_1.2_-33.1_u_sci.fits,u,1.12589
KiDS_DR3.0_131.0_-0.5_g_sci.fits,g,0.85402
KiDS_DR3.0_131.0_-0.5_i_sci.fits,i,1.08825
KiDS_DR3.0_131.0_-0.5_r_sci.fits,r,0.63105
KiDS_DR3.0_131.0_-0.5_u_sci.fits,u,0.96939
KiDS_DR3.0_132.0_-1.5_g_sci.fits,g,0.88452
KiDS_DR3.0_132.0_-1.5_i_sci.fits,i,0.62643
KiDS_DR3.0_132.0_-1.5_r_sci.fits,r,0.64866
KiDS_DR3.0_132.0_-1.5_u_sci.fits,u,0.96616
KiDS_DR3.0_133.0_-1.5_g_sci.fits,g,0.90879
KiDS_DR3.0_133.0_-1.5_i_sci.fits,i,0.75548
KiDS_DR3.0_133.0_-1.5_r_sci.fits,r,0.63495
KiDS_DR3.0_133.0_-1.5_u_sci.fits,u,0.95006
KiDS_DR3.0_134.0_0.5_g_sci.fits,g,0.63647
KiDS_DR3.0_134.0_0.5_i_sci.fits,i,0.83287
KiDS_DR3.0_134.0_0.5_r_sci.fits,r,0.80049
KiDS_DR3.0_134.0_0.5_u_sci.fits,u,1.1645
KiDS_DR3.0_134.0_-1.5_g_sci.fits,g,0.76456
KiDS_DR3.0_134.0_1.5_g_sci.fits,g,1.18788
KiDS_DR3.0_134.0_-1.5_i_sci.fits,i,1.0384
KiDS_DR3.0_134.0_1.5_i_sci.fits,i,0.72435
KiDS_DR3.0_134.0_-1.5_r_sci.fits,r,0.7496
KiDS_DR3.0_134.0_1.5_r_sci.fits,r,0.84038
KiDS_DR3.0_134.0_-1.5_u_sci.fits,u,1.2238
KiDS_DR3.0_134.0_1.5_u_sci.fits,u,0.85208
KiDS_DR3.0_134.4_2.5_g_sci.fits,g,0.91256
KiDS_DR3.0_134.4_2.5_i_sci.fits,i,0.76016
KiDS_DR3.0_134.4_2.5_r_sci.fits,r,0.92645
KiDS_DR3.0_134.4_2.5_u_sci.fits,u,0.93501
KiDS_DR3.0_135.0_-0.5_g_sci.fits,g,0.77552
KiDS_DR3.0_135.0_-0.5_i_sci.fits,i,1.05168
KiDS_DR3.0_135.0_-0.5_r_sci.fits,r,0.66019
KiDS_DR3.0_135.0_-0.5_u_sci.fits,u,1.12532
KiDS_DR3.0_137.0_0.5_g_sci.fits,g,0.96337
KiDS_DR3.0_137.0_0.5_i_sci.fits,i,1.0759
KiDS_DR3.0_137.0_0.5_r_sci.fits,r,0.67945
KiDS_DR3.0_137.0_0.5_u_sci.fits,u,1.25288
KiDS_DR3.0_137.0_-1.5_g_sci.fits,g,0.61326
KiDS_DR3.0_137.0_1.5_g_sci.fits,g,0.98044
KiDS_DR3.0_137.0_-1.5_i_sci.fits,i,0.76042
KiDS_DR3.0_137.0_1.5_i_sci.fits,i,0.77631
KiDS_DR3.0_137.0_-1.5_r_sci.fits,r,0.65512
KiDS_DR3.0_137.0_1.5_r_sci.fits,r,0.59483
KiDS_DR3.0_137.0_-1.5_u_sci.fits,u,0.96176
KiDS_DR3.0_137.0_1.5_u_sci.fits,u,0.81248
KiDS_DR3.0_137.4_2.5_g_sci.fits,g,0.8543
KiDS_DR3.0_137.4_2.5_i_sci.fits,i,0.64561
KiDS_DR3.0_137.4_2.5_r_sci.fits,r,0.71156
KiDS_DR3.0_137.4_2.5_u_sci.fits,u,1.11155
KiDS_DR3.0_138.0_-0.5_g_sci.fits,g,0.73475
KiDS_DR3.0_138.0_0.5_g_sci.fits,g,0.9192
KiDS_DR3.0_138.0_-0.5_i_sci.fits,i,0.84739
KiDS_DR3.0_138.0_0.5_i_sci.fits,i,0.72408
KiDS_DR3.0_138.0_-0.5_r_sci.fits,r,0.75085
KiDS_DR3.0_138.0_0.5_r_sci.fits,r,0.73645
KiDS_DR3.0_138.0_-0.5_u_sci.fits,u,0.9361
KiDS_DR3.0_138.0_0.5_u_sci.fits,u,1.2124
KiDS_DR3.0_138.0_-1.5_g_sci.fits,g,0.95467
KiDS_DR3.0_138.0_1.5_g_sci.fits,g,1.03286
KiDS_DR3.0_138.0_-1.5_i_sci.fits,i,0.85086
KiDS_DR3.0_138.0_1.5_i_sci.fits,i,0.8275
KiDS_DR3.0_138.0_-1.5_r_sci.fits,r,0.49508
KiDS_DR3.0_138.0_1.5_r_sci.fits,r,0.88234
KiDS_DR3.0_138.0_-1.5_u_sci.fits,u,0.88896
KiDS_DR3.0_138.0_1.5_u_sci.fits,u,0.94959
KiDS_DR3.0_138.4_2.5_g_sci.fits,g,0.76259
KiDS_DR3.0_138.4_2.5_i_sci.fits,i,0.94484
KiDS_DR3.0_138.4_2.5_r_sci.fits,r,0.93026
KiDS_DR3.0_138.4_2.5_u_sci.fits,u,1.03349
KiDS_DR3.0_140.0_0.5_g_sci.fits,g,0.63954
KiDS_DR3.0_140.0_0.5_i_sci.fits,i,0.69559
KiDS_DR3.0_140.0_0.5_r_sci.fits,r,0.65138
KiDS_DR3.0_140.0_0.5_u_sci.fits,u,0.85949
KiDS_DR3.0_140.4_2.5_g_sci.fits,g,0.76291
KiDS_DR3.0_140.4_2.5_i_sci.fits,i,0.79387
KiDS_DR3.0_140.4_2.5_r_sci.fits,r,0.68965
KiDS_DR3.0_140.4_2.5_u_sci.fits,u,0.87662
KiDS_DR3.0_141.0_0.5_g_sci.fits,g,1.09688
KiDS_DR3.0_141.0_0.5_i_sci.fits,i,0.92491
KiDS_DR3.0_141.0_0.5_r_sci.fits,r,0.65613
KiDS_DR3.0_141.0_0.5_u_sci.fits,u,1.17662
KiDS_DR3.0_141.4_2.5_g_sci.fits,g,0.80324
KiDS_DR3.0_141.4_2.5_i_sci.fits,i,0.80645
KiDS_DR3.0_141.4_2.5_r_sci.fits,r,0.67402
KiDS_DR3.0_141.4_2.5_u_sci.fits,u,1.09707
KiDS_DR3.0_150.1_2.2_g_sci.fits,g,1.04058
KiDS_DR3.0_150.1_2.2_i_sci.fits,i,1.03871
KiDS_DR3.0_150.1_2.2_r_sci.fits,r,0.54968
KiDS_DR3.0_150.1_2.2_u_sci.fits,u,0.73779
KiDS_DR3.0_156.0_0.5_g_sci.fits,g,0.80999
KiDS_DR3.0_156.0_0.5_i_sci.fits,i,0.79443
KiDS_DR3.0_156.0_0.5_r_sci.fits,r,0.71642
KiDS_DR3.0_156.0_0.5_u_sci.fits,u,1.14748
KiDS_DR3.0_157.0_0.5_g_sci.fits,g,0.71904
KiDS_DR3.0_157.0_0.5_i_sci.fits,i,0.72836
KiDS_DR3.0_157.0_0.5_r_sci.fits,r,0.68947
KiDS_DR3.0_157.0_0.5_u_sci.fits,u,1.08748
KiDS_DR3.0_158.0_0.5_g_sci.fits,g,0.80424
KiDS_DR3.0_158.0_0.5_i_sci.fits,i,0.79239
KiDS_DR3.0_158.0_0.5_r_sci.fits,r,0.64812
KiDS_DR3.0_158.0_0.5_u_sci.fits,u,1.22779
KiDS_DR3.0_159.0_0.5_g_sci.fits,g,0.77659
KiDS_DR3.0_159.0_0.5_i_sci.fits,i,0.7753
KiDS_DR3.0_159.0_0.5_r_sci.fits,r,0.70899
KiDS_DR3.0_159.0_0.5_u_sci.fits,u,0.96239
KiDS_DR3.0_160.0_0.5_g_sci.fits,g,0.91521
KiDS_DR3.0_160.0_0.5_i_sci.fits,i,0.68193
KiDS_DR3.0_160.0_0.5_r_sci.fits,r,0.96284
KiDS_DR3.0_160.0_0.5_u_sci.fits,u,1.03394
KiDS_DR3.0_161.0_0.5_g_sci.fits,g,0.71101
KiDS_DR3.0_161.0_0.5_i_sci.fits,i,0.82624
KiDS_DR3.0_161.0_0.5_r_sci.fits,r,0.6315
KiDS_DR3.0_161.0_0.5_u_sci.fits,u,0.93025
KiDS_DR3.0_162.0_0.5_g_sci.fits,g,0.78327
KiDS_DR3.0_162.0_0.5_i_sci.fits,i,0.64453
KiDS_DR3.0_162.0_0.5_r_sci.fits,r,0.84125
KiDS_DR3.0_162.0_0.5_u_sci.fits,u,1.13892
KiDS_DR3.0_163.0_0.5_g_sci.fits,g,0.9874
KiDS_DR3.0_163.0_0.5_i_sci.fits,i,0.61509
KiDS_DR3.0_163.0_0.5_r_sci.fits,r,0.78876
KiDS_DR3.0_163.0_0.5_u_sci.fits,u,0.78444
KiDS_DR3.0_164.0_0.5_g_sci.fits,g,0.93157
KiDS_DR3.0_164.0_0.5_i_sci.fits,i,0.85897
KiDS_DR3.0_164.0_0.5_r_sci.fits,r,0.72379
KiDS_DR3.0_164.0_0.5_u_sci.fits,u,1.11457
KiDS_DR3.0_165.0_0.5_g_sci.fits,g,1.05771
KiDS_DR3.0_165.0_0.5_i_sci.fits,i,0.90198
KiDS_DR3.0_165.0_0.5_r_sci.fits,r,0.4997
KiDS_DR3.0_165.0_0.5_u_sci.fits,u,0.80888
KiDS_DR3.0_168.0_0.5_g_sci.fits,g,0.61403
KiDS_DR3.0_168.0_0.5_i_sci.fits,i,0.60914
KiDS_DR3.0_168.0_0.5_r_sci.fits,r,0.71495
KiDS_DR3.0_168.0_0.5_u_sci.fits,u,1.02856
KiDS_DR3.0_169.0_0.5_g_sci.fits,g,0.68148
KiDS_DR3.0_169.0_0.5_i_sci.fits,i,0.7676
KiDS_DR3.0_169.0_0.5_r_sci.fits,r,0.76635
KiDS_DR3.0_169.0_0.5_u_sci.fits,u,1.11498
KiDS_DR3.0_172.5_-2.5_g_sci.fits,g,0.9189
KiDS_DR3.0_172.5_-2.5_i_sci.fits,i,0.60388
KiDS_DR3.0_172.5_-2.5_r_sci.fits,r,0.77135
KiDS_DR3.0_172.5_-2.5_u_sci.fits,u,1.09869
KiDS_DR3.0_173.0_-0.5_g_sci.fits,g,0.79667
KiDS_DR3.0_173.0_-0.5_i_sci.fits,i,0.76877
KiDS_DR3.0_173.0_-0.5_r_sci.fits,r,0.60936
KiDS_DR3.0_173.0_-0.5_u_sci.fits,u,0.95659
KiDS_DR3.0_173.5_-2.5_g_sci.fits,g,1.07133
KiDS_DR3.0_173.5_2.5_g_sci.fits,g,0.6663
KiDS_DR3.0_173.5_-2.5_i_sci.fits,i,0.85725
KiDS_DR3.0_173.5_2.5_i_sci.fits,i,0.95792
KiDS_DR3.0_173.5_-2.5_r_sci.fits,r,0.6028
KiDS_DR3.0_173.5_2.5_r_sci.fits,r,0.74617
KiDS_DR3.0_173.5_-2.5_u_sci.fits,u,1.24598
KiDS_DR3.0_173.5_2.5_u_sci.fits,u,1.06725
KiDS_DR3.0_174.0_-0.5_g_sci.fits,g,0.84501
KiDS_DR3.0_174.0_-0.5_i_sci.fits,i,1.06261
KiDS_DR3.0_174.0_-0.5_r_sci.fits,r,0.73639
KiDS_DR3.0_174.0_-0.5_u_sci.fits,u,0.94483
KiDS_DR3.0_174.0_1.5_g_sci.fits,g,0.63438
KiDS_DR3.0_174.0_1.5_i_sci.fits,i,0.80078
KiDS_DR3.0_174.0_1.5_r_sci.fits,r,0.8607
KiDS_DR3.0_174.0_1.5_u_sci.fits,u,1.0079
KiDS_DR3.0_174.5_-2.5_g_sci.fits,g,0.83609
KiDS_DR3.0_174.5_2.5_g_sci.fits,g,0.72182
KiDS_DR3.0_174.5_-2.5_i_sci.fits,i,0.76722
KiDS_DR3.0_174.5_2.5_i_sci.fits,i,0.74341
KiDS_DR3.0_174.5_-2.5_r_sci.fits,r,0.82836
KiDS_DR3.0_174.5_2.5_r_sci.fits,r,0.56349
KiDS_DR3.0_174.5_-2.5_u_sci.fits,u,0.9133
KiDS_DR3.0_174.5_2.5_u_sci.fits,u,0.82482
KiDS_DR3.0_175.0_0.5_g_sci.fits,g,0.69225
KiDS_DR3.0_175.0_0.5_i_sci.fits,i,0.89957
KiDS_DR3.0_175.0_0.5_r_sci.fits,r,0.72137
KiDS_DR3.0_175.0_0.5_u_sci.fits,u,0.85133
KiDS_DR3.0_175.5_-2.5_g_sci.fits,g,0.75907
KiDS_DR3.0_175.5_2.5_g_sci.fits,g,0.88897
KiDS_DR3.0_175.5_-2.5_i_sci.fits,i,0.78299
KiDS_DR3.0_175.5_2.5_i_sci.fits,i,1.07803
KiDS_DR3.0_175.5_-2.5_r_sci.fits,r,0.80692
KiDS_DR3.0_175.5_2.5_r_sci.fits,r,0.63878
KiDS_DR3.0_175.5_-2.5_u_sci.fits,u,1.13977
KiDS_DR3.0_175.5_2.5_u_sci.fits,u,1.03614
KiDS_DR3.0_176.0_-0.5_g_sci.fits,g,0.91375
KiDS_DR3.0_176.0_0.5_g_sci.fits,g,0.83571
KiDS_DR3.0_176.0_-0.5_i_sci.fits,i,1.02966
KiDS_DR3.0_176.0_0.5_i_sci.fits,i,1.02812
